de_id,_trusted_judgments,what_emotion_does_author_express_specifically_about_the_weather,what_emotion_does_author_express_specifically_about_the_weather:confidence,what_emotion_does_author_express_specifically_about_the_weather:confidence_summary,tweet_text
DE_CF4_00011,5,-1,0.61,"""Neutral / author is just sharing information"": 0.169
""I can't tell"": 0.614
""Positive"": 0.217
",ment snow lets students breathe easy days andrew keough principal wellesley high school
DE_CF4_00039,5,-1,0.41,"""I can't tell"": 0.411
""Neutral / author is just sharing information"": 0.191
""Negative"": 0.398
",ment lol bit windy want sand ya face yeh see say
DE_CF4_00043,5,-1,0.79,"""Neutral / author is just sharing information"": 0.211
""I can't tell"": 0.789
",rain just made feel kind way
DE_CF4_01432,5,-1,0.43,"""I can't tell"": 0.435
""Neutral / author is just sharing information"": 0.217
""Positive"": 0.145
""Tweet not related to weather condition"": 0.203
",think couples use time go outside practice extreme cold weather survival techniques ! wink wink
DE_CF4_01456,5,-1,0.38,"""Neutral / author is just sharing information"": 0.219
""I can't tell"": 0.382
""Positive"": 0.18
""Tweet not related to weather condition"": 0.219
",ment great interview ! stay warm dallas !
DE_CF4_01492,5,-1,0.4,"""Neutral / author is just sharing information"": 0.211
""I can't tell"": 0.404
""Positive"": 0.386
",ment pic snow storm texas cracks not storm standards ! num http
DE_CF4_01515,5,-1,0.38,"""Neutral / author is just sharing information"": 0.201
""I can't tell"": 0.379
""Positive"": 0.212
""Tweet not related to weather condition"": 0.209
",cold days warm memories typical teenage fashion devastating snowstorm hanging http
DE_CF4_01520,5,-1,0.61,"""Neutral / author is just sharing information"": 0.386
""I can't tell"": 0.614
",storm now ? anonymous many people dug tuesday's blizzard http
DE_CF4_01726,5,-1,0.39,"""Neutral / author is just sharing information"": 0.213
""I can't tell"": 0.39
""Positive"": 0.203
""Negative"": 0.194
",ment ment ment ment nothing rain glad passed ice though
DE_CF4_01764,6,-1,0.5,"""Neutral / author is just sharing information"": 0.167
""I can't tell"": 0.5
""Positive"": 0.167
""Negative"": 0.167
",warm yet ? http
DE_CF4_01815,5,-1,0.39,"""I can't tell"": 0.393
""Positive"": 0.204
""Tweet not related to weather condition"": 0.193
""Negative"": 0.21
",:) ready something new want warm weather warm food warm blanket cold guess coffee will now
DE_CF4_01838,5,-1,0.41,"""Neutral / author is just sharing information"": 0.183
""I can't tell"": 0.413
""Positive"": 0.222
""Negative"": 0.183
",:) ment shut num days ! completely unheard ! num inch snow ha ha !
DE_CF4_01849,5,-1,0.59,"""I can't tell"": 0.593
""Neutral / author is just sharing information"": 0.194
""Negative"": 0.213
",oh boy texas weather na something serious
DE_CF4_01866,5,-1,0.43,"""Neutral / author is just sharing information"": 0.201
""I can't tell"": 0.426
""Positive"": 0.373
",num love giving step daughters last chocolate snowstorm http
DE_CF4_01884,5,-1,0.41,"""Neutral / author is just sharing information"": 0.191
""I can't tell"": 0.406
""Negative"": 0.404
",pauses preparing blizzard looks window ment kind storm separates men boys
DE_CF4_01963,5,-1,0.4,"""I can't tell"": 0.399
""Neutral / author is just sharing information"": 0.199
""Tweet not related to weather condition"": 0.21
""Negative"": 0.191
",cold nights warm patron
DE_CF4_02029,5,-1,0.62,"""I can't tell"": 0.616
""Negative"": 0.384
",:) ment sweet ! thanks thinking thunder storms last night crazy january !
DE_CF4_02036,5,-1,0.62,"""Neutral / author is just sharing information"": 0.207
""I can't tell"": 0.622
""Negative"": 0.171
",raining slush !
DE_CF4_02042,5,-1,0.43,"""I can't tell"": 0.43
""Neutral / author is just sharing information"": 0.404
""Positive"": 0.166
",ladies gentlemen now num degrees time frozen slush streets !
DE_CF4_02058,5,-1,0.41,"""Neutral / author is just sharing information"": 0.174
""I can't tell"": 0.412
""Tweet not related to weather condition"": 0.194
""Negative"": 0.22
",ment running errands perspective isn't romantic ! lol rain
DE_CF4_02069,5,-1,0.41,"""Neutral / author is just sharing information"": 0.207
""I can't tell"": 0.415
""Tweet not related to weather condition"": 0.378
",weather
DE_CF4_02134,5,-1,0.41,"""Neutral / author is just sharing information"": 0.21
""I can't tell"": 0.412
""Tweet not related to weather condition"": 0.377
",fan account excuse ! http rain
DE_CF4_02179,5,-1,0.41,"""I can't tell"": 0.414
""Tweet not related to weather condition"": 0.172
""Negative"": 0.414
",mall ! smh weather
DE_CF4_02225,5,-1,0.42,"""I can't tell"": 0.417
""Positive"": 0.417
""Negative"": 0.167
",day chicago gotta love blizzard city http http http
DE_CF4_02228,5,-1,0.41,"""I can't tell"": 0.412
""Neutral / author is just sharing information"": 0.399
""Negative"": 0.189
",never seen humidity gauge register num austin anywhere else either !
DE_CF4_02244,5,-1,0.59,"""I can't tell"": 0.593
""Tweet not related to weather condition"": 0.407
",un como en humidity battery tanked joule http
DE_CF4_02312,5,-1,0.57,"""I can't tell"": 0.566
""Neutral / author is just sharing information"": 0.434
",ment humidity almost always num num not backing !
DE_CF4_02320,5,-1,0.8,"""Neutral / author is just sharing information"": 0.205
""I can't tell"": 0.795
",ment one thunderstorm ?
DE_CF4_02392,5,-1,0.57,"""I can't tell"": 0.565
""Positive"": 0.216
""Tweet not related to weather condition"": 0.218
",ment know ever listen jeff ward show num ? keep joking blizzard num
DE_CF4_02412,5,-1,0.39,"""Neutral / author is just sharing information"": 0.209
""I can't tell"": 0.389
""Tweet not related to weather condition"": 0.209
""Negative"": 0.193
",ment say snow ? num needs snow stop going just snow news story
DE_CF4_02416,9,-1,0.45,"""I can't tell"": 0.45
""Neutral / author is just sharing information"": 0.435
""Negative"": 0.115
",weird weather http
DE_CF4_02458,5,-1,0.4,"""I can't tell"": 0.396
""Neutral / author is just sharing information"": 0.21
""Positive"": 0.21
""Negative"": 0.185
",known ill go get warm ment ment ment memphis
DE_CF4_02467,5,-1,0.8,"""I can't tell"": 0.804
""Positive"": 0.196
",kinda fuck rainy days especially done classes
DE_CF4_02504,5,-1,0.42,"""Neutral / author is just sharing information"": 0.369
""I can't tell"": 0.416
""Negative"": 0.214
",ment watched news num minutes morning kept saying snow storm thunder storm thunder snow
DE_CF4_02580,5,-1,0.4,"""Neutral / author is just sharing information"": 0.196
""I can't tell"": 0.397
""Positive"": 0.196
""Negative"": 0.211
",everybody listening order get cold rainy work day ?
DE_CF4_02597,5,-1,0.79,"""I can't tell"": 0.795
""Tweet not related to weather condition"": 0.205
",ment not fallin called cold
DE_CF4_02715,5,-1,0.4,"""I can't tell"": 0.399
""Positive"": 0.215
""Tweet not related to weather condition"": 0.385
",ment explain meaning mast florida humidity ? giggles
DE_CF4_02748,5,-1,0.42,"""I can't tell"": 0.417
""Neutral / author is just sharing information"": 0.406
""Positive"": 0.177
",blizzard historic ! remember weather new survived num blizzard http
DE_CF4_02794,5,-1,0.41,"""Neutral / author is just sharing information"": 0.205
""I can't tell"": 0.41
""Negative"": 0.386
",ment cold brother want leave
DE_CF4_02809,5,-1,0.6,"""I can't tell"": 0.597
""Positive"": 0.198
""Negative"": 0.205
",ment yep remember days quite storm !
DE_CF4_02813,5,-1,0.44,"""Neutral / author is just sharing information"": 0.375
""I can't tell"": 0.441
""Negative"": 0.184
",little chilly today everyone handling ?
DE_CF4_02860,5,-1,0.42,"""Neutral / author is just sharing information"": 0.218
""I can't tell"": 0.424
""Tweet not related to weather condition"": 0.169
""Negative"": 0.189
",must not outside smoking warm ! ment hope everyone warm
DE_CF4_02881,5,-1,0.38,"""I can't tell"": 0.383
""Neutral / author is just sharing information"": 0.206
""Positive"": 0.206
""Tweet not related to weather condition"": 0.206
",get gear trip slopes warm weather experiencing front range http
DE_CF4_02906,5,-1,0.39,"""I can't tell"": 0.393
""Neutral / author is just sharing information"": 0.214
""Tweet not related to weather condition"": 0.392
",ment stick weather friend stick weather go easy judging kids tonight !
DE_CF4_02954,5,-1,0.4,"""I can't tell"": 0.404
""Tweet not related to weather condition"": 0.398
""Negative"": 0.198
",ment warm ?
DE_CF4_02999,5,-1,0.41,"""I can't tell"": 0.407
""Positive"": 0.186
""Tweet not related to weather condition"": 0.203
""Negative"": 0.203
",:-) ment warm weather bostonian
DE_CF4_03047,5,-1,0.62,"""I can't tell"": 0.624
""Negative"": 0.376
",ment michael place ? ment blizzard dallas !
DE_CF4_03110,5,-1,0.23,"""I can't tell"": 0.229
""Neutral / author is just sharing information"": 0.182
""Positive"": 0.229
""Tweet not related to weather condition"": 0.172
""Negative"": 0.189
",nice class canceled tomorrow rain use rainy day bed
DE_CF4_03150,5,-1,0.59,"""I can't tell"": 0.587
""Neutral / author is just sharing information"": 0.198
""Tweet not related to weather condition"": 0.215
",ment unbelievable ! hope staying safe warm !
DE_CF4_03161,5,-1,0.41,"""Neutral / author is just sharing information"": 0.194
""I can't tell"": 0.41
""Tweet not related to weather condition"": 0.396
",ment num actually looped skeptical handshakes rainy night
DE_CF4_03198,5,-1,0.61,"""Neutral / author is just sharing information"": 0.193
""I can't tell"": 0.605
""Tweet not related to weather condition"": 0.202
",ment snow queen graces boston visit followed lesser known far slush queen
DE_CF4_03238,5,-1,0.59,"""I can't tell"": 0.587
""Positive"": 0.2
""Negative"": 0.213
",morning tweeps tough night four paws yucky ! lots trips outside lovely cold
DE_CF4_03243,5,-1,0.6,"""I can't tell"": 0.6
""Tweet not related to weather condition"": 0.192
""Negative"": 0.209
",ment told one coworkers go cold come back bucket gin thought joking
DE_CF4_03286,5,-1,0.38,"""Neutral / author is just sharing information"": 0.197
""I can't tell"": 0.384
""Positive"": 0.203
""Negative"": 0.216
",ment keep fingers crossed make home saturday night ! hear supposed get another storm
DE_CF4_03449,5,-1,0.59,"""I can't tell"": 0.592
""Neutral / author is just sharing information"": 0.408
",thunderstorm !
DE_CF4_03484,5,-1,0.41,"""I can't tell"": 0.414
""Neutral / author is just sharing information"": 0.366
""Negative"": 0.22
",ment ment ment ment heard thunderstorms plagues frogs snow didn't miss
DE_CF4_03490,5,-1,0.41,"""Neutral / author is just sharing information"": 0.381
""I can't tell"": 0.407
""Negative"": 0.212
",watch ! windy outside !
DE_CF4_03515,5,-1,0.22,"""Neutral / author is just sharing information"": 0.199
""I can't tell"": 0.219
""Positive"": 0.202
""Tweet not related to weather condition"": 0.202
""Negative"": 0.179
",:-) ment ment snow storm ? snow storm http mans snow fridge
DE_CF4_03584,5,-1,0.58,"""I can't tell"": 0.579
""Negative"": 0.421
",ment ha slush eh ? got hit hard texas ?
DE_CF4_03587,5,-1,0.42,"""I can't tell"": 0.416
""Tweet not related to weather condition"": 0.189
""Negative"": 0.395
",atlanta art thou rainy ?
DE_CF4_03636,5,-1,0.41,"""I can't tell"": 0.407
""Positive"": 0.186
""Negative"": 0.407
",put wager weather superbowl better weather week dallas
DE_CF4_03699,5,-1,0.41,"""I can't tell"": 0.405
""Neutral / author is just sharing information"": 0.387
""Negative"": 0.207
",sun bet still cold outside
DE_CF4_03795,5,-1,0.6,"""Neutral / author is just sharing information"": 0.204
""I can't tell"": 0.6
""Negative"": 0.196
",holy warm
DE_CF4_03812,5,-1,0.38,"""Neutral / author is just sharing information"": 0.207
""I can't tell"": 0.379
""Positive"": 0.207
""Tweet not related to weather condition"": 0.207
",not biking ! snow ice slush mud oil salt ! ment winter biking primer http bike
DE_CF4_03858,5,-1,0.42,"""I can't tell"": 0.416
""Neutral / author is just sharing information"": 0.194
""Negative"": 0.39
",br cold outside ! come warm fire yummy pizza ! m
DE_CF4_03873,5,-1,0.6,"""I can't tell"": 0.604
""Positive"": 0.396
",ment great soccer weather not great driving ment
DE_CF4_04025,5,-1,0.4,"""I can't tell"": 0.404
""Positive"": 0.395
""Negative"": 0.201
",bad snow la http can't make work due snow today boss
DE_CF4_04179,5,-1,0.41,"""I can't tell"": 0.41
""Positive"": 0.399
""Negative"": 0.191
",rainy cold not love ?
DE_CF4_04313,5,-1,0.41,"""I can't tell"": 0.413
""Tweet not related to weather condition"": 0.405
""Negative"": 0.182
",:) ment not heat humidity
DE_CF4_04367,5,-1,0.41,"""Neutral / author is just sharing information"": 0.19
""I can't tell"": 0.408
""Tweet not related to weather condition"": 0.201
""Negative"": 0.201
",cold weather got ? think summer art quilt http
DE_CF4_04395,5,-1,0.41,"""I can't tell"": 0.406
""Neutral / author is just sharing information"": 0.391
""Tweet not related to weather condition"": 0.203
",ment gonna team might well appropriate weather
DE_CF4_04400,5,-1,0.41,"""I can't tell"": 0.412
""Tweet not related to weather condition"": 0.382
""Negative"": 0.206
",ment wish earnest pugh great rain us played ! not
DE_CF4_04415,5,-1,0.6,"""I can't tell"": 0.601
""Positive"": 0.186
""Negative"": 0.213
",still tripping snow lightning thunder high winds time one storm joke
DE_CF4_04419,5,-1,0.42,"""I can't tell"": 0.415
""Neutral / author is just sharing information"": 0.195
""Negative"": 0.39
",happened chicago last night like crazy sci fi movie endless snow thunderstorms !
DE_CF4_04423,5,-1,0.41,"""Neutral / author is just sharing information"": 0.391
""I can't tell"": 0.407
""Negative"": 0.202
",phrases news snow god blizzard num thunder snow thunder storms snow
DE_CF4_04428,5,-1,0.36,"""I can't tell"": 0.363
""Neutral / author is just sharing information"": 0.222
""Positive"": 0.222
""Negative"": 0.192
",definitely snow storm remember ! num inches snow lightning thunder snow storm super windy !
DE_CF4_04467,5,-1,0.41,"""Neutral / author is just sharing information"": 0.369
""I can't tell"": 0.414
""Negative"": 0.216
",howdy humidity
DE_CF4_04492,5,-1,0.41,"""I can't tell"": 0.41
""Neutral / author is just sharing information"": 0.4
""Positive"": 0.19
",ment uhh blizzard
DE_CF4_04531,5,-1,0.43,"""I can't tell"": 0.427
""Positive"": 0.167
""Tweet not related to weather condition"": 0.183
""Negative"": 0.223
",want ? mention num num another num num expected storm ? wasn't thunder call lovely winter day
DE_CF4_04565,5,-1,0.4,"""Neutral / author is just sharing information"": 0.218
""I can't tell"": 0.396
""Tweet not related to weather condition"": 0.386
",ment ment not heat humidity not snow ha ! good one !
