_unit_id,_trusted_judgments,what_emotion_does_author_express_specifically_about_the_weather,what_emotion_does_author_express_specifically_about_the_weather:confidence,what_emotion_does_author_express_specifically_about_the_weather:confidence_summary,tweet_text
73285186,5,-1,0.45,"""Neutral / author is just sharing information"": 0.369
""I can't tell"": 0.448
""Negative"": 0.183
",hot outside !
73285213,5,-1,0.41,"""I can't tell"": 0.408
""Neutral / author is just sharing information"": 0.4
""Negative"": 0.192
",freezing
73285278,5,-1,0.44,"""I can't tell"": 0.44
""Neutral / author is just sharing information"": 0.181
""Negative"": 0.38
",haven't gotten say awhile hot outside !
73285303,5,-1,0.6,"""I can't tell"": 0.601
""Tweet not related to weather condition"": 0.196
""Negative"": 0.204
",ment ment just makes wanna lift hands shout especially storm pleading blood !
73285318,5,-1,0.61,"""Neutral / author is just sharing information"": 0.392
""I can't tell"": 0.608
",ment ju already snow
73285321,5,-1,0.4,"""I can't tell"": 0.395
""Neutral / author is just sharing information"": 0.393
""Positive"": 0.212
",hail weather gods ! patio just went white sun reflection covered white hail stones will former num min
73285343,5,-1,0.61,"""I can't tell"": 0.611
""Neutral / author is just sharing information"": 0.213
""Tweet not related to weather condition"": 0.176
",grow beard make cheeks feel scratchy itchy plus getting really warm outside
73285377,9,-1,0.34,"""Neutral / author is just sharing information"": 0.116
""I can't tell"": 0.339
""Positive"": 0.325
""Tweet not related to weather condition"": 0.11
""Negative"": 0.111
",ment ! couldn't wait weather break lol thanks booby !
73285446,5,-1,0.4,"""Neutral / author is just sharing information"": 0.393
""I can't tell"": 0.403
""Tweet not related to weather condition"": 0.204
",thanks smart ass ! ment naw snow ment rain ?
73285484,5,-1,0.4,"""I can't tell"": 0.4
""Positive"": 0.393
""Tweet not related to weather condition"": 0.206
",ment austin weather nothing not unique
73285523,6,-1,0.49,"""Neutral / author is just sharing information"": 0.377
""I can't tell"": 0.492
""Negative"": 0.132
",warm cloudy thunderstorm maybe ?
73285541,5,-1,0.41,"""Neutral / author is just sharing information"": 0.205
""I can't tell"": 0.41
""Negative"": 0.386
",ment wanted hot weather yu got ! now shut fuck !
73285637,5,-1,0.4,"""I can't tell"": 0.397
""Positive"": 0.214
""Tweet not related to weather condition"": 0.389
",ment mango papaya chicken curry fresh strawberry ment perfect accompaniment today's weather
73285706,5,-1,0.4,"""Neutral / author is just sharing information"": 0.193
""I can't tell"": 0.404
""Positive"": 0.195
""Negative"": 0.207
",ment thunderstorms ? hope can actually break num degrees week !
73285796,5,-1,0.41,"""Neutral / author is just sharing information"": 0.392
""I can't tell"": 0.414
""Positive"": 0.194
",;) ! ment easter candy will sale stocking get thru next days wild weather
73285934,5,-1,0.79,"""I can't tell"": 0.787
""Tweet not related to weather condition"": 0.213
",god thunder just roll ? lightning just strike ? just bust garth brooks make pertain weather ?
73286012,5,-1,0.61,"""Neutral / author is just sharing information"": 0.204
""I can't tell"": 0.607
""Tweet not related to weather condition"": 0.189
",num sunshine
73286031,5,-1,0.62,"""I can't tell"": 0.622
""Negative"": 0.378
",ment thanks brad ! weather crazy will loving landscapes come may !
73286058,5,-1,0.41,"""I can't tell"": 0.414
""Positive"": 0.191
""Negative"": 0.395
",ah humidity make feel like need chalk face
73286074,5,-1,0.8,"""Neutral / author is just sharing information"": 0.202
""I can't tell"": 0.798
",like not hot outside
73286084,5,-1,0.41,"""I can't tell"": 0.412
""Neutral / author is just sharing information"": 0.202
""Positive"": 0.209
""Negative"": 0.177
",don't understand air num degrees outside
73286146,5,-1,0.41,"""Neutral / author is just sharing information"": 0.383
""I can't tell"": 0.411
""Tweet not related to weather condition"": 0.206
",storm rains
73286157,5,-1,0.41,"""I can't tell"": 0.414
""Neutral / author is just sharing information"": 0.383
""Tweet not related to weather condition"": 0.203
",whats weather like outside ?
73286197,5,-1,0.61,"""I can't tell"": 0.612
""Neutral / author is just sharing information"": 0.388
",storm need rain booty pop panties ya'll
73286222,5,-1,0.8,"""Neutral / author is just sharing information"": 0.2
""I can't tell"": 0.8
",weather something else
73286296,5,-1,0.42,"""Neutral / author is just sharing information"": 0.18
""I can't tell"": 0.416
""Negative"": 0.404
",thought going rain today ! hot heck !
73286338,5,-1,0.6,"""I can't tell"": 0.601
""Neutral / author is just sharing information"": 0.204
""Negative"": 0.195
",ment guys coming hometown woodlands ! hope sell num num seats ! ah going hot outside !
73286454,5,-1,0.4,"""Neutral / author is just sharing information"": 0.389
""I can't tell"": 0.401
""Tweet not related to weather condition"": 0.209
",every day hotter num degrees will forever format kinda day
73286507,5,-1,0.42,"""I can't tell"": 0.415
""Neutral / author is just sharing information"": 0.208
""Positive"": 0.199
""Tweet not related to weather condition"": 0.178
",ready warm weather
73286550,5,-1,0.4,"""Neutral / author is just sharing information"": 0.199
""I can't tell"": 0.404
""Negative"": 0.397
",ment dat ! hot num degrees lol
73286554,5,-1,0.41,"""I can't tell"": 0.406
""Neutral / author is just sharing information"": 0.4
""Positive"": 0.195
",just rainy monday morning
73286556,5,-1,0.41,"""Neutral / author is just sharing information"": 0.206
""I can't tell"": 0.407
""Positive"": 0.387
",weather matches mood
73286589,5,-1,0.4,"""Neutral / author is just sharing information"": 0.213
""I can't tell"": 0.4
""Negative"": 0.387
",weather crazy
